,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
0,2030-01-01 00:00:00,19300.659222672348,4980.448254861014,14320.210967811334
1,2030-01-01 00:15:00,19333.096886160027,5130.5801985038615,14202.516687656165
2,2030-01-01 00:30:00,19605.384233372202,5449.501128419035,14155.883104953167
3,2030-01-01 00:45:00,19232.07055732242,5142.066640632211,14090.003916690208
4,2030-01-01 01:00:00,19649.88764115292,5684.61005280326,13965.27758834966
5,2030-01-01 01:15:00,19663.422689599134,5734.785773373251,13928.636916225883
6,2030-01-01 01:30:00,19524.510974695324,5444.129860785097,14080.381113910227
7,2030-01-01 01:45:00,19766.39404764096,5814.070232264348,13952.32381537661
8,2030-01-01 02:00:00,19460.805946855955,5664.29751495522,13796.508431900735
9,2030-01-01 02:15:00,19825.859679021014,6107.073884958605,13718.785794062409
10,2030-01-01 02:30:00,19523.774271610324,5886.412193378537,13637.362078231787
11,2030-01-01 02:45:00,19690.147550457506,6156.045548210917,13534.10200224659
12,2030-01-01 03:00:00,18879.339445467536,5418.148679669279,13461.190765798257
13,2030-01-01 03:15:00,18579.156938261003,5307.831473467793,13271.32546479321
14,2030-01-01 03:30:00,18372.822755126424,5146.650441839283,13226.172313287141
15,2030-01-01 03:45:00,18376.931662568757,0.0,18376.931662568757
16,2030-01-01 04:00:00,18530.893961088834,0.0,18530.893961088834
17,2030-01-01 04:15:00,18282.434995428735,0.0,18282.434995428735
18,2030-01-01 04:30:00,18107.582923662932,0.0,18107.582923662932
19,2030-01-01 04:45:00,18194.510118986356,0.0,18194.510118986356
20,2030-01-01 05:00:00,18696.83364388503,0.0,18696.83364388503
21,2030-01-01 05:15:00,18494.953604226845,0.0,18494.953604226845
22,2030-01-01 05:30:00,18274.255207527305,0.0,18274.255207527305
23,2030-01-01 05:45:00,18264.997582523632,0.0,18264.997582523632
24,2030-01-01 06:00:00,18386.43385753911,0.0,18386.43385753911
25,2030-01-01 06:15:00,18231.066002781863,0.0,18231.066002781863
26,2030-01-01 06:30:00,18116.35362639696,0.0,18116.35362639696
