,Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
0,2030-01-01 00:00:00,-4980.448254861014,4980.448254861014,4980.448254861014
1,2030-01-01 00:15:00,-5130.5801985038615,10111.028453364876,5130.5801985038615
2,2030-01-01 00:30:00,-5449.501128419035,15560.52958178391,5449.501128419035
3,2030-01-01 00:45:00,-5142.066640632211,20702.59622241612,5142.066640632211
4,2030-01-01 01:00:00,-5684.61005280326,26387.20627521938,5684.61005280326
5,2030-01-01 01:15:00,-5734.785773373251,32121.992048592634,5734.785773373251
6,2030-01-01 01:30:00,-5444.129860785097,37566.12190937773,5444.129860785097
7,2030-01-01 01:45:00,-5814.070232264348,43380.19214164208,5814.070232264348
8,2030-01-01 02:00:00,-5664.29751495522,49044.4896565973,5664.29751495522
9,2030-01-01 02:15:00,-6107.073884958605,55151.56354155591,6107.073884958605
10,2030-01-01 02:30:00,-5886.412193378537,61037.97573493444,5886.412193378537
11,2030-01-01 02:45:00,-6156.045548210917,67194.02128314535,6156.045548210917
12,2030-01-01 03:00:00,-5418.148679669279,72612.16996281463,5418.148679669279
13,2030-01-01 03:15:00,-5307.831473467793,77920.00143628243,5307.831473467793
14,2030-01-01 03:30:00,-5146.650441839283,83000.0,5146.650441839283
15,2030-01-01 03:45:00,-5140.026223103945,83000.0,0.0
16,2030-01-01 04:00:00,-5345.80361351624,83000.0,0.0
17,2030-01-01 04:15:00,-5173.21674669831,83000.0,0.0
18,2030-01-01 04:30:00,-5006.136938716341,83000.0,0.0
19,2030-01-01 04:45:00,-5055.313138518295,83000.0,0.0
20,2030-01-01 05:00:00,-5500.640062335531,83000.0,0.0
21,2030-01-01 05:15:00,-5299.500238275805,83000.0,0.0
22,2030-01-01 05:30:00,-5051.783972232468,83000.0,0.0
23,2030-01-01 05:45:00,-5105.814780897144,83000.0,0.0
24,2030-01-01 06:00:00,-5360.119755836227,83000.0,0.0
25,2030-01-01 06:15:00,-5132.21077242988,83000.0,0.0
26,2030-01-01 06:30:00,-5106.324267860207,83000.0,0.0
27,2030-01-01 06:45:00,-4940.473727418852,83000.0,0.0
28,2030-01-01 07:00:00,-4918.341282491032,83000.0,0.0
29,2030-01-01 07:15:00,-4580.417130642207,83000.0,0.0
30,2030-01-01 07:30:00,-4442.133131915163,83000.0,0.0
31,2030-01-01 07:45:00,-4087.448319014611,83000.0,0.0
32,2030-01-01 08:00:00,-4150.848261600213,83000.0,0.0
33,2030-01-01 08:15:00,-3831.801580716001,83000.0,0.0
34,2030-01-01 08:30:00,-3530.988766011553,83000.0,0.0
35,2030-01-01 08:45:00,-3548.038700500767,83000.0,0.0
36,2030-01-01 09:00:00,-3556.2993634268805,83000.0,0.0
37,2030-01-01 09:15:00,-3696.7494241772,83000.0,0.0
38,2030-01-01 09:30:00,-3816.7648703570285,83000.0,0.0
39,2030-01-01 09:45:00,-4183.951597348565,83000.0,0.0
40,2030-01-01 10:00:00,-4955.334845103671,83000.0,0.0
41,2030-01-01 10:15:00,-5166.778577885569,83000.0,0.0
42,2030-01-01 10:30:00,-5206.689136387702,83000.0,0.0
43,2030-01-01 10:45:00,-5267.877628524879,83000.0,0.0
44,2030-01-01 11:00:00,-5313.660105683735,83000.0,0.0
45,2030-01-01 11:15:00,-5644.632492337607,83000.0,0.0
46,2030-01-01 11:30:00,-6041.92269038399,83000.0,0.0
47,2030-01-01 11:45:00,-6030.023570332167,83000.0,0.0
48,2030-01-01 12:00:00,-5848.956205693696,83000.0,0.0
49,2030-01-01 12:15:00,-5306.6097312891325,83000.0,0.0
50,2030-01-01 12:30:00,-4511.345379526547,83000.0,0.0
51,2030-01-01 12:45:00,-4128.052049080721,83000.0,0.0
52,2030-01-01 13:00:00,-3660.7934624723257,83000.0,0.0
53,2030-01-01 13:15:00,-3191.5768078075744,83000.0,0.0
54,2030-01-01 13:30:00,-2437.718262445751,83000.0,0.0
55,2030-01-01 13:45:00,-1955.713173695529,83000.0,0.0
56,2030-01-01 14:00:00,-1430.2374080910595,83000.0,0.0
57,2030-01-01 14:15:00,-496.78590386925134,83000.0,0.0
58,2030-01-01 14:30:00,831.4114797969505,82168.58852020305,-831.4114797969505
59,2030-01-01 14:45:00,1466.3946612733362,80702.1938589297,-1466.3946612733362
60,2030-01-01 15:00:00,1904.0407163939562,78798.15314253575,-1904.0407163939562
61,2030-01-01 15:15:00,2455.2271144449533,76342.9260280908,-2455.2271144449533
62,2030-01-01 15:30:00,3327.048015484914,73015.87801260588,-3327.048015484914
63,2030-01-01 15:45:00,4196.971369804525,68818.90664280136,-4196.971369804525
64,2030-01-01 16:00:00,5108.253669335107,63710.652973466254,-5108.253669335107
65,2030-01-01 16:15:00,5788.213469679149,57922.43950378711,-5788.213469679149
66,2030-01-01 16:30:00,6362.185541554645,51560.25396223246,-6362.185541554645
67,2030-01-01 16:45:00,6749.340027663902,44810.91393456856,-6749.340027663902
68,2030-01-01 17:00:00,7350.02252349067,37460.89141107789,-7350.02252349067
69,2030-01-01 17:15:00,7565.531724752675,29895.359686325217,-7565.531724752675
70,2030-01-01 17:30:00,7727.1818905087675,22168.17779581645,-7727.1818905087675
71,2030-01-01 17:45:00,7685.382017570102,14482.795778246347,-7685.382017570102
72,2030-01-01 18:00:00,7491.204030404324,6991.591747842023,-7491.204030404324
73,2030-01-01 18:15:00,7536.908689299824,6991.591747842023,-6991.591747842023
74,2030-01-01 18:30:00,7486.089200374732,0.0,0.0
75,2030-01-01 18:45:00,7441.604539056378,0.0,0.0
76,2030-01-01 19:00:00,7522.538839980394,0.0,0.0
77,2030-01-01 19:15:00,7081.450214531456,0.0,0.0
78,2030-01-01 19:30:00,6667.056192308826,0.0,0.0
79,2030-01-01 19:45:00,6072.543817655063,0.0,0.0
80,2030-01-01 20:00:00,5331.653565496794,0.0,0.0
81,2030-01-01 20:15:00,4939.56544400179,0.0,0.0
82,2030-01-01 20:30:00,4365.978381249357,0.0,0.0
83,2030-01-01 20:45:00,3635.846273236146,0.0,0.0
84,2030-01-01 21:00:00,3353.447172800021,0.0,0.0
85,2030-01-01 21:15:00,3338.52252522828,0.0,0.0
86,2030-01-01 21:30:00,3341.46493941669,0.0,0.0
87,2030-01-01 21:45:00,3275.177876035512,0.0,0.0
88,2030-01-01 22:00:00,3210.9884262179676,0.0,0.0
89,2030-01-01 22:15:00,2854.476404115272,0.0,0.0
90,2030-01-01 22:30:00,2489.3456078839245,0.0,0.0
91,2030-01-01 22:45:00,1936.5498309957002,0.0,0.0
92,2030-01-01 23:00:00,1797.5063818175186,0.0,0.0
93,2030-01-01 23:15:00,1385.7363030651795,0.0,0.0
94,2030-01-01 23:30:00,818.6978609256057,0.0,0.0
95,2030-01-01 23:45:00,406.0298140748837,0.0,0.0
96,2030-01-02 00:00:00,167.24381732797337,0.0,0.0
97,2030-01-02 00:15:00,-113.31328802167263,113.31328802167263,113.31328802167263
98,2030-01-02 00:30:00,-602.6174301632145,715.9307181848872,602.6174301632145
99,2030-01-02 00:45:00,-848.5181966596374,1564.4489148445246,848.5181966596374
100,2030-01-02 01:00:00,-1064.711655903182,2629.1605707477065,1064.711655903182
101,2030-01-02 01:15:00,-1370.7909212506765,3999.951491998383,1370.7909212506765
102,2030-01-02 01:30:00,-1283.5146860146579,5283.466178013041,1283.5146860146579
103,2030-01-02 01:45:00,-913.8130273065399,6197.279205319581,913.8130273065399
104,2030-01-02 02:00:00,-1340.6668068524268,7537.946012172008,1340.6668068524268
105,2030-01-02 02:15:00,-1731.3291118685756,9269.275124040583,1731.3291118685756
106,2030-01-02 02:30:00,-1566.8941267094833,10836.169250750067,1566.8941267094833
107,2030-01-02 02:45:00,-1375.1404810615022,12211.309731811569,1375.1404810615022
108,2030-01-02 03:00:00,-1479.3771562229704,13690.68688803454,1479.3771562229704
109,2030-01-02 03:15:00,-1654.3616729280802,15345.04856096262,1654.3616729280802
110,2030-01-02 03:30:00,-1534.5388840791911,16879.587445041812,1534.5388840791911
111,2030-01-02 03:45:00,-1545.652859095262,18425.240304137074,1545.652859095262
112,2030-01-02 04:00:00,-1630.0360918833776,20055.276396020454,1630.0360918833776
113,2030-01-02 04:15:00,-1239.8737900262695,21295.150186046725,1239.8737900262695
114,2030-01-02 04:30:00,-1256.6615835561915,22551.811769602915,1256.6615835561915
115,2030-01-02 04:45:00,-1401.3773802460364,23953.18914984895,1401.3773802460364
116,2030-01-02 05:00:00,-1010.3500487654892,24963.53919861444,1010.3500487654892
117,2030-01-02 05:15:00,-643.8123405650622,25607.3515391795,643.8123405650622
