,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
18154,2030-07-09 03:30:00,3818.2370249709734,0.0,-9355.390881495961,13173.627906466934
18155,2030-07-09 03:45:00,3689.9787293100426,0.0,-9358.201317651507,13048.180046961548
18156,2030-07-09 04:00:00,3538.7591016165857,0.0,-9409.23626190807,12947.995363524657
18157,2030-07-09 04:15:00,3413.6012366654163,0.0,-9285.654515117101,12699.255751782517
18158,2030-07-09 04:30:00,3356.701698660555,0.0,-9260.756839671,12617.458538331553
18159,2030-07-09 04:45:00,3288.012074242052,0.0,-8957.88884323538,12245.900917477433
18160,2030-07-09 05:00:00,3264.3651071285176,0.0,-8502.146805352997,11766.511912481514
18161,2030-07-09 05:15:00,3334.28122303112,0.0,-7891.080800970351,11225.362024001472
18162,2030-07-09 05:30:00,3381.7554742302564,0.0,-7176.885197808764,10558.64067203902
18163,2030-07-09 05:45:00,3615.78342000908,0.0,-6336.526961289199,9952.310381298279
18164,2030-07-09 06:00:00,4081.8884762699054,0.0,-5738.785987536834,9820.67446380674
18165,2030-07-09 06:15:00,4596.35634505349,0.0,-4905.718128258076,9502.074473311566
18166,2030-07-09 06:30:00,5313.882918408148,0.0,-4067.215314054287,9381.098232462435
18167,2030-07-09 06:45:00,6085.771212070145,0.0,-3080.548024101645,9166.31923617179
18168,2030-07-09 07:00:00,6966.644652233541,0.0,-2034.893835766179,9001.53848799972
18169,2030-07-09 07:15:00,7908.524204485952,0.0,-1003.9580667799619,8912.482271265915
18170,2030-07-09 07:30:00,8967.981374830115,287.3690000740935,0.0,8680.612374756021
18171,2030-07-09 07:45:00,10126.378683625526,1338.957035810863,0.0,8787.421647814663
18172,2030-07-09 08:00:00,11542.140671191102,2294.057269406727,0.0,9248.083401784375
18173,2030-07-09 08:15:00,12809.945431684588,3425.347967336531,0.0,9384.597464348057
18174,2030-07-09 08:30:00,14267.08079259373,4466.8409902291205,0.0,9800.23980236461
18175,2030-07-09 08:45:00,15635.481104471475,5576.792401105906,0.0,10058.68870336557
18176,2030-07-09 09:00:00,16965.130430888206,6609.492084448539,0.0,10355.638346439668
18177,2030-07-09 09:15:00,18393.617691599786,7410.124029887964,0.0,10983.493661711822
18178,2030-07-09 09:30:00,19639.780327466626,7971.752644947917,0.0,11668.027682518708
18179,2030-07-09 09:45:00,21056.18099610594,8654.928741859028,0.0,12401.252254246912
18180,2030-07-09 10:00:00,22248.39714091675,9406.968756609622,0.0,12841.428384307128
18181,2030-07-09 10:15:00,23291.819802651124,9878.035932142528,0.0,13413.783870508596
18182,2030-07-09 10:30:00,24056.63759948841,10101.481325129022,0.0,13955.15627435939
18183,2030-07-09 10:45:00,24882.30519910311,10139.20078757769,0.0,14743.104411525419
18184,2030-07-09 11:00:00,25802.37415470418,0.0,0.0,25802.37415470418
18185,2030-07-09 11:15:00,26419.633910932975,0.0,0.0,26419.633910932975
18186,2030-07-09 11:30:00,26801.485441989953,0.0,0.0,26801.485441989953
18187,2030-07-09 11:45:00,27006.1235218914,0.0,0.0,27006.1235218914
18188,2030-07-09 12:00:00,26743.353874517867,0.0,0.0,26743.353874517867
18189,2030-07-09 12:15:00,26766.1921312602,0.0,0.0,26766.1921312602
18190,2030-07-09 12:30:00,26824.21504568422,0.0,0.0,26824.21504568422
18191,2030-07-09 12:45:00,27067.126201669165,0.0,0.0,27067.126201669165
18192,2030-07-09 13:00:00,26787.00312558682,0.0,0.0,26787.00312558682
18193,2030-07-09 13:15:00,26457.21793657966,0.0,0.0,26457.21793657966
18194,2030-07-09 13:30:00,26621.838446699203,0.0,0.0,26621.838446699203
18195,2030-07-09 13:45:00,26397.45099662808,0.0,0.0,26397.45099662808
18196,2030-07-09 14:00:00,26423.01324378884,0.0,0.0,26423.01324378884
18197,2030-07-09 14:15:00,25709.67716833913,0.0,0.0,25709.67716833913
18198,2030-07-09 14:30:00,24966.343019445863,0.0,0.0,24966.343019445863
18199,2030-07-09 14:45:00,24900.52771906228,0.0,0.0,24900.52771906228
18200,2030-07-09 15:00:00,24441.623391089986,0.0,0.0,24441.623391089986
18201,2030-07-09 15:15:00,23516.235089906517,0.0,0.0,23516.235089906517
18202,2030-07-09 15:30:00,22850.35114653738,0.0,0.0,22850.35114653738
18203,2030-07-09 15:45:00,22076.635822913282,0.0,0.0,22076.635822913282
18204,2030-07-09 16:00:00,21097.289636941816,0.0,0.0,21097.289636941816
18205,2030-07-09 16:15:00,20214.468033289453,-979.9592958800749,0.0,21194.427329169528
18206,2030-07-09 16:30:00,18864.810408285608,-2302.032781539827,0.0,21166.843189825435
18207,2030-07-09 16:45:00,17682.715300649863,-3761.354208340528,0.0,21444.06950899039
18208,2030-07-09 17:00:00,16490.02358119314,-5125.408797701359,0.0,21615.4323788945
18209,2030-07-09 17:15:00,15247.787269163236,-5979.011823558332,0.0,21226.79909272157
18210,2030-07-09 17:30:00,14038.226554469442,-7082.116508462785,0.0,21120.343062932225
18211,2030-07-09 17:45:00,12712.514043190806,-8176.577653946382,0.0,20889.091697137188
18212,2030-07-09 18:00:00,11663.421190974797,-9218.689998686092,0.0,20882.11118966089
18213,2030-07-09 18:15:00,11054.829528208156,-9636.507210173788,0.0,20691.336738381942
18214,2030-07-09 18:30:00,10144.921114501822,-10312.663048320426,0.0,20457.584162822248
18215,2030-07-09 18:45:00,9162.972739984174,-10905.5406419901,0.0,20068.513381974273
18216,2030-07-09 19:00:00,8316.647421037193,-9520.13803140028,-1913.5347597119635,19750.320212149432
18217,2030-07-09 19:15:00,7654.188954258394,0.0,-11750.0,19404.188954258396
18218,2030-07-09 19:30:00,6794.829755492852,0.0,-11750.0,18544.82975549285
18219,2030-07-09 19:45:00,6139.403943753294,0.0,-11750.0,17889.403943753292
18220,2030-07-09 20:00:00,5821.863132393079,0.0,-11750.0,17571.86313239308
18221,2030-07-09 20:15:00,5431.9824002705445,0.0,-11750.0,17181.982400270543
18222,2030-07-09 20:30:00,4883.835228498893,0.0,-11750.0,16633.835228498894
18223,2030-07-09 20:45:00,4429.056236620633,0.0,-11750.0,16179.056236620632
18224,2030-07-09 21:00:00,4206.186471316799,0.0,-11750.0,15956.1864713168
18225,2030-07-09 21:15:00,4337.015902376949,0.0,-11750.0,16087.015902376948
18226,2030-07-09 21:30:00,4624.9607453724775,0.0,-11750.0,16374.960745372478
18227,2030-07-09 21:45:00,4804.000421243025,0.0,-11750.0,16554.000421243025
18228,2030-07-09 22:00:00,4724.760567849143,0.0,-11750.0,16474.76056784914
18229,2030-07-09 22:15:00,4646.699482950979,0.0,-11750.0,16396.69948295098
18230,2030-07-09 22:30:00,4554.284619720428,0.0,-11750.0,16304.284619720427
18231,2030-07-09 22:45:00,4392.371722510443,0.0,-11750.0,16142.371722510443
18232,2030-07-09 23:00:00,4142.2223724643345,0.0,-11750.0,15892.222372464334
18233,2030-07-09 23:15:00,3809.917880180692,0.0,-11750.0,15559.917880180692
18234,2030-07-09 23:30:00,3617.6007562316445,0.0,-11750.0,15367.600756231644
18235,2030-07-09 23:45:00,3438.707048776668,0.0,-11750.0,15188.707048776669
18236,2030-07-10 00:00:00,3264.8400867532628,0.0,-11750.0,15014.840086753262
18237,2030-07-10 00:15:00,3157.347313481883,0.0,-11750.0,14907.347313481883
18238,2030-07-10 00:30:00,3090.8700096649195,0.0,-11750.0,14840.870009664919
18239,2030-07-10 00:45:00,3196.853580982005,0.0,-11750.0,14946.853580982006
18240,2030-07-10 01:00:00,3202.2114902781295,0.0,-11750.0,14952.211490278129
18241,2030-07-10 01:15:00,3184.7507137617254,0.0,-11688.758772508501,14873.509486270226
18242,2030-07-10 01:30:00,3104.28291091366,0.0,-11730.202432188953,14834.485343102613
18243,2030-07-10 01:45:00,2943.188559557971,0.0,-11750.0,14693.188559557972
18244,2030-07-10 02:00:00,2844.784255142462,0.0,-11687.115306984875,14531.899562127337
18245,2030-07-10 02:15:00,2812.8050169255907,0.0,-11686.729262322864,14499.534279248455
18246,2030-07-10 02:30:00,2649.96599909766,0.0,-11750.0,14399.96599909766
18247,2030-07-10 02:45:00,2477.2601102825074,0.0,-11750.0,14227.260110282507
18248,2030-07-10 03:00:00,2469.1379057675254,0.0,-11750.0,14219.137905767526
18249,2030-07-10 03:15:00,2410.676810351948,0.0,-11750.0,14160.676810351948
18250,2030-07-10 03:30:00,2296.890558643585,0.0,-11750.0,14046.890558643585
18251,2030-07-10 03:45:00,2320.852740214995,0.0,-11750.0,14070.852740214996
