year,predicted_capacity
2016,4334.618183195591
2017,5401.554546177387
2018,6314.737662553787
2019,7074.167532384396
2020,7679.844155430794
2021,8131.767531871796
2022,8429.937661647797
2023,8574.354544818401
2024,8574.354544818401
2025,8574.354544818401
2026,8574.354544818401
2027,8574.354544818401
2028,8574.354544818401
2029,8574.354544818401
2030,8574.354544818401
