year,predicted_capacity
2019,52996.17857199907
2020,54581.821428895
2021,56310.42857146263
2022,58181.999999821186
2023,60196.535714030266
2024,62354.03571379185
2025,64654.499999284744
2026,67097.92857050896
2027,69684.32142746449
2028,72413.67857009172
2029,75285.99999850988
2030,78301.28571259975
2031,81459.53571242094
