year,predicted_capacity
2013,33595.14560294151
2014,37747.90184676647
2015,41569.15509366989
2016,45058.90534389019
2017,48217.15259683132
2018,51043.89685297012
2019,53539.13811194897
2020,55702.87637388706
2021,57535.11163914204
2022,59035.84390723705
2023,60205.07317852974
2024,61042.79945254326
2025,61549.02272987366
2026,61723.74300992489
2027,61723.74300992489
2028,61723.74300992489
2029,61723.74300992489
2030,61723.74300992489
