year,predicted_capacity
2019,7565.8928571641445
2020,7682.678571403027
2021,7869.8571428358555
2022,8127.428571403027
2023,8455.392857164145
2024,8853.750000089407
2025,9322.500000178814
2026,9861.642857402563
2027,10471.17857182026
2028,11151.1071434021
2029,11901.428572237492
2030,12722.142858147621
2031,13613.250001221895
