year,predicted_capacity
2013,38926.980768203735
2014,38926.980768203735
2015,38926.980768203735
2016,38926.980768203735
2017,41185.88286828995
2018,44653.23951101303
2019,49281.64860248566
2020,55071.11014032364
2021,62021.62412691116
2022,70133.1905593872
2023,79405.80943965912
2024,89839.48076820374
2025,101434.20454359055
2026,114189.98076629639
2027,128106.80943727493
2028,143184.69055461884
2029,159423.62412023544
2030,176823.61013269424
