year,predicted_capacity
2019,48761.89285516739
2020,53595.8214263916
2021,60319.2857131958
2022,68932.28571367264
2023,79434.82142972946
2024,91826.89285993576
2025,106108.50000524521
2026,122279.64286470413
2027,140340.32143974304
2028,160290.5357284546
2029,182130.28573322296
2030,205859.5714521408
2031,231478.39288520813
